gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRPG;QDSA;PONTA GROSSA;µREA DE AUTOMAÄ«O PONTA GROSSA SAA;QD197779;TRANSMISSOR DE VAZ«O 02.05FT02(VL ESTRELA);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;11/09/2020;10/10/2020;0
GRPG;QDSA;PONTA GROSSA;µREA DE AUTOMAÄ«O PONTA GROSSA SAA;QD197797;TRANSMISSOR DE VAZ«O 02.08FT01(IGJ ST TEREZ;µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;11/09/2020;10/10/2020;0
GRPG;QDSA;PONTA GROSSA;µREA DE AUTOMAÄ«O PONTA GROSSA SAA;QD197805;TRANSMISSOR DE VAZ«O 04.05FT01 (CIPA);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;11/09/2020;10/10/2020;0
GRPG;QDX6;PONTA GROSSA;ETE-06 (CONGONHAS);QD197832;SENSOR ULTRASS‚NICO 06 FE 02;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;15/09/2020;14/10/2020;0
GRPG;QDX6;PONTA GROSSA;ETE-06 (CONGONHAS);QD197850;SENSOR ULTRASS‚NICO 06 FE 01;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;15/09/2020;14/10/2020;0
GRPG;QDX5;PONTA GROSSA;ETE-05 (GERTRUDES);QD197814;SENSOR ULTRASS‚NICO 05 FE 02;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;16/09/2020;15/10/2020;0
GRPG;QDX7;PONTA GROSSA;ETE-07 CARµ CARµ;QD197823;SENSOR ULTRASS‚NICO 07 FE 02;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;16/09/2020;15/10/2020;0
GRPG;QDX5;PONTA GROSSA;ETE-05 (GERTRUDES);QD197841;SENSOR ULTRASS‚NICO 05 FE 01;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;16/09/2020;15/10/2020;0
GRPG;QDX7;PONTA GROSSA;ETE-07 CARµ CARµ;QD197869;SENSOR ULTRASS‚NICO 07 FE 01;ESGOTO;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;16/09/2020;15/10/2020;0
GRUV;WQGH;UNI«O DA VIT‡RIA;EET-17 (µREA 107) (NSA GRAÄAS);WQ081173;TRANSMISSOR DE VAZ«O FT53 (JUSANTE);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;14/09/2020;13/10/2020;1
